RK,PLAYER NAME,TEAM,POS,AGE
41,Baker Mayfield,TB,QB16,31
54,Jared Goff,DET,QB18,31
68,Tyler Shough,NO,QB22,26
71,Sam Darnold,SEA,QB23,28
75,Malik Willis,MIA,QB24,26
91,Matthew Stafford,LAR,QB27,38
132,J.J. McCarthy,MIN,QB29,23
135,Michael Penix Jr.,ATL,QB30,26
195,Tua Tagovailoa,ATL,QB32,28
220,Anthony Richardson Sr.,IND,QB33,23
224,Aaron Rodgers,FA,QB34,42
245,Geno Smith,NYJ,QB35,35
272,Mac Jones,SF,QB37,27
273,Carson Beck,ARI,QB38,23
275,Justin Fields,KC,QB39,27
297,Jalen Milroe,SEA,QB40,23
299,Kirk Cousins,LV,QB41,37
305,Deshaun Watson,CLE,QB42,30
340,Russell Wilson,FA,QB46,37
351,Jameis Winston,NYG,QB47,32
352,Marcus Mariota,WAS,QB48,32
359,Will Howard,PIT,QB49,24
366,Joe Milton III,DAL,QB50,26
369,Tyson Bagent,CHI,QB51,25
384,Dillon Gabriel,CLE,QB52,25
394,Taylen Green,CLE,QB54,23
395,Cole Payton,PHI,QB55,23
405,Spencer Rattler,NO,QB56,25
415,Mason Rudolph,PIT,QB57,30
418,Joe Flacco,CIN,QB58,41
423,Riley Leonard,IND,QB59,23
436,Trey Lance,LAC,QB60,26
438,Tyler Huntley,BAL,QB61,28
440,Davis Mills,HOU,QB62,27
441,Mitchell Trubisky,TEN,QB63,31
337,Raheim Sanders,CLE,RB100,23
339,Audric Estime,NO,RB101,22
347,Miles Sanders,FA,RB102,29
353,George Holani,SEA,RB103,26
365,Roschon Johnson,CHI,RB104,25
367,Emari Demercado,KC,RB105,27
372,Damien Martinez,GB,RB106,22
376,Robert Henry Jr.,WAS,RB107,-
377,Terion Stewart,KC,RB108,-
380,Samaje Perine,CIN,RB109,30
383,Phil Mafah,DAL,RB110,23
392,Bam Knight,ARI,RB111,25
393,Jam Miller,NE,RB112,-
404,Jeremy McNichols,WAS,RB113,30
419,Austin Ekeler,FA,RB114,30
426,Antonio Gibson,FA,RB115,27
429,Khalil Herbert,FA,RB116,28
430,Dameon Pierce,PHI,RB117,26
435,Raheem Mostert,LV,RB118,34
437,Le'Veon Moss,MIA,RB119,-
439,Dean Connors,LAR,RB120,-
445,Jaydn Ott,KC,RB121,-
467,Malik Davis,DAL,RB122,27
470,Cam Akers,FA,RB123,26
482,Michael Carter,TEN,RB124,27
494,Rasheen Ali,BAL,RB125,25
496,Jawhar Jordan,HOU,RB126,26
79,Travis Etienne Jr.,NO,RB18,27
81,Kyren Williams,LAR,RB19,25
82,Javonte Williams,DAL,RB20,26
97,RJ Harvey,DEN,RB24,25
118,Zach Charbonnet,SEA,RB27,25
120,Kyle Monangai,CHI,RB28,23
122,David Montgomery,HOU,RB29,28
125,Jaylen Warren,PIT,RB30,27
133,Rhamondre Stevenson,NE,RB31,28
134,Blake Corum,LAR,RB32,25
138,Chuba Hubbard,CAR,RB35,26
149,Kenneth Gainwell,TB,RB37,27
152,Jacory Croskey-Merritt,WAS,RB38,25
160,Tyrone Tracy Jr.,NYG,RB39,26
162,Tyler Allgeier,ARI,RB40,26
163,J.K. Dobbins,DEN,RB41,27
165,Jordan Mason,MIN,RB43,26
175,Emmett Johnson,KC,RB44,22
178,Jonathon Brooks,CAR,RB45,22
181,Rachaad White,WAS,RB47,27
187,Tyjae Spears,TEN,RB49,24
191,Aaron Jones Sr.,MIN,RB50,31
197,Chris Rodriguez Jr.,JAC,RB52,26
199,Alvin Kamara,NO,RB53,30
207,Tank Bigsby,PHI,RB55,23
209,Demond Claiborne,MIN,RB56,22
212,Isiah Pacheco,DET,RB57,27
213,Braelon Allen,NYJ,RB58,22
222,Kimani Vidal,LAC,RB59,24
223,Trey Benson,ARI,RB60,23
225,Brian Robinson Jr.,ATL,RB61,27
228,Ray Davis,BUF,RB62,26
229,Devin Neal,NO,RB63,22
230,Kaleb Johnson,PIT,RB64,22
231,Keaton Mitchell,LAC,RB65,24
232,Ollie Gordon II,MIA,RB66,22
233,Adam Randall,BAL,RB67,21
234,James Conner,ARI,RB68,31
235,Jaylen Wright,MIA,RB69,23
239,Emanuel Wilson,SEA,RB70,27
243,J'Mari Taylor,JAC,RB71,-
246,Sean Tucker,TB,RB72,24
247,Jaydon Blue,DAL,RB73,22
251,Seth McGowan,IND,RB74,24
252,Isaiah Davis,NYJ,RB75,24
253,Roman Hemby,LV,RB76,-
256,MarShawn Lloyd,GB,RB77,25
257,Jarquez Hunter,LAR,RB78,23
259,Kendre Miller,NO,RB80,23
261,Najee Harris,LAC,RB81,28
263,Isaac Guerendo,SF,RB82,25
265,DJ Giddens,IND,RB83,22
267,Trevor Etienne,CAR,RB84,21
276,Jerome Ford,WAS,RB86,26
277,Tahj Brooks,CIN,RB87,23
278,Eli Heidenreich,PIT,RB88,22
281,Devin Singletary,NYG,RB89,28
284,Chris Brooks,GB,RB90,26
285,Will Shipley,PHI,RB91,23
287,Jordan James,SF,RB92,22
293,LeQuint Allen Jr.,JAC,RB93,21
307,Joe Mixon,FA,RB94,29
308,Justice Hill,BAL,RB95,28
315,Ty Johnson,BUF,RB96,28
323,Kareem Hunt,FA,RB97,30
324,Nick Chubb,FA,RB98,30
336,Jaleel McLaughlin,DEN,RB99,25
96,Oronde Gadsden II,LAC,TE10,22
104,Eli Stowers,PHI,TE11,23
106,Dalton Kincaid,BUF,TE12,26
114,George Kittle,SF,TE14,32
115,Isaiah Likely,NYG,TE15,26
121,Brenton Strange,JAC,TE16,25
139,Mark Andrews,BAL,TE17,30
144,Dallas Goedert,PHI,TE18,31
146,Chig Okonkwo,WAS,TE19,26
151,AJ Barner,SEA,TE20,24
158,Terrance Ferguson,LAR,TE21,23
159,Juwan Johnson,NO,TE22,29
167,Travis Kelce,KC,TE23,36
169,Hunter Henry,NE,TE24,31
174,T.J. Hockenson,MIN,TE25,28
176,Dalton Schultz,HOU,TE26,29
186,Mason Taylor,NYJ,TE27,22
198,Gunnar Helm,TEN,TE29,23
203,Theo Johnson,NYG,TE31,25
210,Cade Otton,TB,TE32,27
214,Pat Freiermuth,PIT,TE33,27
216,David Njoku,FA,TE34,29
236,Elijah Arroyo,SEA,TE35,23
260,Evan Engram,DEN,TE36,31
268,Eli Raridon,NE,TE37,22
269,Ben Sinnott,WAS,TE38,23
270,Michael Mayer,LV,TE39,24
280,Michael Trigg,DAL,TE40,23
283,Ja'Tavion Sanders,CAR,TE41,23
288,Colby Parkinson,LAR,TE42,27
290,Mike Gesicki,CIN,TE43,30
291,Cole Kmet,CHI,TE44,27
294,Greg Dulcich,MIA,TE45,26
300,Sam Roush,CHI,TE46,22
301,Justin Joly,DEN,TE47,-
303,Darnell Washington,PIT,TE48,24
309,Noah Gray,KC,TE49,27
310,Marlin Klein,HOU,TE50,23
312,Jake Tonges,SF,TE51,26
316,Tanner Koziol,JAC,TE52,22
320,Tyler Higbee,LAR,TE53,33
322,Jack Endries,CIN,TE54,22
325,Noah Fant,NO,TE55,28
326,Jonnu Smith,FA,TE56,30
329,Erick All Jr.,CIN,TE57,25
334,Mitchell Evans,CAR,TE58,23
342,Luke Musgrave,GB,TE59,25
69,Harold Fannin Jr.,CLE,TE6,21
344,Zach Ertz,FA,TE60,35
345,Dawson Knox,BUF,TE61,29
346,Matthew Hibner,BAL,TE62,24
358,Nate Boerkircher,JAC,TE63,24
362,Tyler Conklin,DET,TE64,30
364,Joe Royer,CLE,TE65,-
382,Will Kacmarek,MIA,TE66,23
389,Daniel Bellinger,TEN,TE67,25
396,Dallen Bentley,DEN,TE68,25
397,Josh Cuevas,BAL,TE69,22
74,Sam LaPorta,DET,TE7,25
399,Tommy Tremble,CAR,TE70,25
400,Taysom Hill,FA,TE71,35
401,Austin Hooper,ATL,TE72,31
403,Dae'Quan Wright,PHI,TE73,22
406,Cade Stover,HOU,TE74,25
411,Riley Nowakowski,PIT,TE75,-
413,Will Dissly,FA,TE76,29
416,Seydou Traore,MIA,TE77,-
421,Josh Oliver,MIN,TE78,29
422,RJ Maryland,GB,TE79,-
78,Kyle Pitts Sr.,ATL,TE8,25
424,Carsen Ryan,CLE,TE80,22
427,Elijah Higgins,ARI,TE81,25
428,Jaren Kanak,TEN,TE82,22
433,Jared Wiley,KC,TE83,25
442,Jeremy Ruckert,NYJ,TE84,25
444,Thomas Fidone II,NYG,TE85,23
447,Luke Schoonmaker,DAL,TE86,27
449,Grant Calcaterra,PHI,TE87,27
460,Charlie Kolar,LAC,TE88,27
461,Darren Waller,FA,TE89,33
473,John Michael Gyllenborg,KC,TE90,-
474,Hunter Long,JAC,TE91,27
475,Jackson Hawes,BUF,TE92,25
478,Tanner Hudson,CIN,TE93,31
479,Adam Trautman,DEN,TE94,29
492,Davis Allen,LAR,TE95,25
510,Brock Wright,DET,TE96,27
511,Foster Moreau,HOU,TE97,29
512,Brevin Jordan,HOU,TE98,25
238,Christian Kirk,SF,WR100,29
240,DeMario Douglas,NE,WR101,25
241,Cooper Kupp,SEA,WR102,32
242,Xavier Legette,CAR,WR103,25
244,Devaughn Vele,NO,WR104,28
248,Cedric Tillman,CLE,WR105,26
249,Jalen Nailor,LV,WR106,27
250,Tez Johnson,TB,WR107,23
255,Jalen Royals,KC,WR108,23
262,Isaiah Bond,CLE,WR109,22
264,Hollywood Brown,PHI,WR110,28
266,Darius Slayton,NYG,WR111,29
274,Ryan Flournoy,DAL,WR112,26
279,Bryce Lance,NO,WR113,23
282,Joshua Palmer,BUF,WR114,26
286,Andrei Iosivas,CIN,WR115,26
289,Dont'e Thornton Jr.,LV,WR116,23
292,Kevin Coleman Jr.,MIA,WR117,-
295,Luke McCaffrey,WAS,WR118,25
296,Savion Williams,GB,WR119,24
298,Brenen Thompson,LAC,WR120,22
302,Caleb Douglas,MIA,WR121,22
304,Jalen Tolbert,MIA,WR122,27
306,Jordan Whittington,LAR,WR123,25
311,Jaylin Lane,WAS,WR124,24
317,Roman Wilson,PIT,WR125,24
319,Jahan Dotson,ATL,WR126,26
321,Calvin Austin III,NYG,WR127,27
327,Barion Brown,NO,WR128,22
328,DeAndre Hopkins,BAL,WR129,33
330,John Metchie III,CAR,WR130,25
331,Deion Burks,IND,WR131,23
332,KeAndre Lambert-Smith,LAC,WR132,24
333,Tyquan Thornton,KC,WR133,25
335,Elijah Moore,PHI,WR134,26
338,CJ Daniels,LAR,WR135,24
341,Tutu Atwell,MIA,WR136,26
343,Konata Mumpfield,LAR,WR137,23
348,Mack Hollins,NE,WR138,32
349,Tyler Lockett,LV,WR139,33
350,Tai Felton,MIN,WR140,23
354,Malik Benson,LV,WR141,23
355,Eric Rivers,TB,WR142,-
356,Dyami Brown,WAS,WR143,26
357,Cyrus Allen,KC,WR144,23
360,Jeff Caldwell,KC,WR145,-
361,Devontez Walker,BAL,WR146,24
363,Tyren Montgomery,TEN,WR147,-
368,KaVontae Turpin,DAL,WR148,29
370,Josh Cameron,JAC,WR149,23
373,Jordan Watkins,SF,WR151,24
374,Demarcus Robinson,SF,WR152,31
375,Kendrick Bourne,ARI,WR153,30
378,Zavion Thomas,CHI,WR154,22
379,Brandin Cooks,FA,WR155,32
381,Ja'Lynn Polk,NO,WR156,24
385,Diontae Johnson,FA,WR157,29
387,Eric McAlister,FA,WR158,-
388,Gabe Davis,FA,WR159,27
390,Jalin Hyatt,NYG,WR160,24
391,Jermaine Burton,FA,WR161,24
398,Javon Baker,FA,WR162,24
402,Curtis Samuel,FA,WR163,29
407,Nick Westbrook-Ikhine,IND,WR164,29
408,Kendrick Law,DET,WR165,-
409,Jacob Cowing,SF,WR166,25
410,Reggie Virgil,ARI,WR167,-
412,Olamide Zaccheaus,ATL,WR168,28
414,Malachi Corley,CLE,WR169,24
417,Efton Chism III,NE,WR170,24
420,Colbie Young,CIN,WR171,23
425,Aaron Anderson,CLE,WR172,-
431,Kaden Wetjen,PIT,WR173,24
432,Van Jefferson,WAS,WR174,29
434,Chase Roberts,LV,WR175,-
443,Kalif Raymond,CHI,WR176,31
446,Treylon Burks,WAS,WR177,26
448,Isaiah Hodgins,NYG,WR178,27
450,Isaiah Williams,NYJ,WR179,25
451,Noah Brown,FA,WR180,30
452,Josh Reynolds,FA,WR181,31
453,JuJu Smith-Schuster,FA,WR182,29
454,Sterling Shepard,FA,WR183,33
455,Tyrell Shavers,BUF,WR184,26
456,Theo Wease Jr.,MIA,WR185,24
457,Xavier Hutchinson,HOU,WR186,25
458,Dohnte Meyers,CIN,WR187,25
459,Damien Alford,NO,WR188,25
462,Jared Wayne,HOU,WR189,25
463,Kevin Austin Jr.,NO,WR190,26
464,Jahdae Walker,CHI,WR191,23
465,Lil'Jordan Humphrey,DEN,WR192,28
466,Jimmy Horn Jr.,CAR,WR193,23
468,Jamari Thrash,CLE,WR194,25
469,Greg Dortch,DET,WR195,27
471,Marquez Valdes-Scantling,DAL,WR196,31
472,Arian Smith,NYJ,WR197,24
476,Tim Patrick,FA,WR198,32
477,Mitch Tinsley,CIN,WR199,26
49,Zay Flowers,BAL,WR20,25
480,Zay Jones,FA,WR200,31
481,Darius Cooper,PHI,WR201,24
483,Jonathan Mingo,DAL,WR202,25
484,Romello Brinson,MIA,WR203,-
485,Harrison Wallace III,ARI,WR204,-
486,Tyler Johnson,DAL,WR205,27
487,Vinny Anthony II,ATL,WR206,-
488,Nick Nash,WAS,WR207,25
489,Tyler Scott,LAR,WR208,24
490,David Moore,CAR,WR209,31
491,Allen Lazard,FA,WR210,30
493,Cedrick Wilson Jr.,FA,WR211,30
495,Dane Key,DEN,WR212,-
497,Jake Bobo,SEA,WR213,27
498,Casey Washington,ATL,WR214,25
499,Isaiah Williams,FA,WR215,39
500,Chris Moore,FA,WR216,32
501,Ricky White III,SEA,WR217,24
502,Ray-Ray McCloud III,FA,WR218,29
503,Dante Pettis,NO,WR219,30
504,Scotty Miller,FA,WR220,28
505,Ben Skowronek,PIT,WR221,28
506,Michael Bandy,DEN,WR222,28
507,Shedrick Jackson,LV,WR223,26
508,Xavier Smith,LAR,WR224,28
509,Johnny Wilson,PHI,WR225,25
513,David Sills V,TB,WR226,29
514,Henry Ruggs III,FA,WR227,27
515,Skyy Moore,GB,WR228,25
73,Jameson Williams,DET,WR28,25
85,Alec Pierce,IND,WR31,26
86,DJ Moore,BUF,WR32,29
87,Christian Watson,GB,WR33,26
89,Terry McLaurin,WAS,WR34,30
90,Jordan Addison,MIN,WR35,24
93,DK Metcalf,PIT,WR36,28
98,Michael Wilson,ARI,WR37,26
99,Courtland Sutton,DEN,WR38,30
100,Ricky Pearsall,SF,WR39,25
101,Jakobi Meyers,JAC,WR40,29
103,Mike Evans,SF,WR41,32
105,Davante Adams,LAR,WR42,33
107,Xavier Worthy,KC,WR43,23
110,Wan'Dale Robinson,TEN,WR44,25
111,Michael Pittman Jr.,PIT,WR45,28
112,Josh Downs,IND,WR46,24
123,Jayden Reed,GB,WR50,26
124,Matthew Golden,GB,WR51,22
126,Quentin Johnston,LAC,WR52,24
127,Parker Washington,JAC,WR53,24
128,Chris Godwin Jr.,TB,WR54,30
129,Khalil Shakir,BUF,WR55,26
130,Romeo Doubs,NE,WR56,26
140,Jalen Coker,CAR,WR58,24
141,Rashid Shaheed,SEA,WR59,27
142,Brandon Aiyuk,SF,WR60,28
143,Jauan Jennings,FA,WR61,28
148,Jalen McMillan,TB,WR63,24
150,Stefon Diggs,FA,WR64,32
153,Antonio Williams,WAS,WR65,21
154,Germie Bernard,PIT,WR66,22
156,Ted Hurst,TB,WR68,21
157,Jerry Jeudy,CLE,WR69,27
161,Tre Harris,LAC,WR70,24
166,Troy Franklin,DEN,WR71,23
168,De'Zhaun Stribling,SF,WR72,23
171,Kayshon Boutte,NE,WR73,24
172,Pat Bryant,DEN,WR74,23
173,Deebo Samuel Sr.,FA,WR75,30
177,Tyreek Hill,FA,WR76,32
182,Isaac TeSlaa,DET,WR78,24
183,Adonai Mitchell,NYJ,WR79,23
185,Elijah Sarratt,BAL,WR80,22
193,Kyle Williams,NE,WR85,23
205,Calvin Ridley,TEN,WR88,31
206,Darnell Mooney,NYG,WR89,28
208,Ja'Kobi Lane,BAL,WR90,22
211,Tory Horton,SEA,WR91,23
217,Rashod Bateman,BAL,WR93,26
218,Dontayvion Wicks,PHI,WR94,24
219,Keon Coleman,BUF,WR95,22
221,Marvin Mims Jr.,DEN,WR96,24
226,Tre Tucker,LV,WR97,25
227,Malik Washington,MIA,WR98,25
237,Keenan Allen,LAC,WR99,34
